0,40.73359624,-74.00313914,0 1 202 370
1,40.75803121,-73.97568825,0 13 149 359
2,40.65276619,-74.00309176,0 1 50
3,40.727068,-73.97977,0 7 104
4,40.75637696,-73.96765298,0 7 264
5,40.730957,-73.9544,0 3 280
6,40.591385,-73.960681,0 7 207
7,40.727838,-73.994533,0 3 37
8,40.741872,-73.988079,0 3 166
9,40.733591,-74.002286,0 1 202
10,40.72482677,-73.9813931,0 7 104
11,40.73968518,-74.00601983,0 3 131
12,40.75611914,-73.97253158,0 7 366
13,40.71836265,-73.99081662,0 7 39
14,40.72215992,-73.98176614,0 1 202 393
15,40.72282834,-73.99412795,0 3 95
16,40.756208,-73.967912,0 3 52
17,40.719831,-73.98735075,0 7 39
18,40.72461247,-73.99048526,0 7 139
19,40.72840298,-74.00543881,0 7 39
20,40.756161,-73.967686,0 7 225
21,40.748118,-73.98710489,0 7 225
22,40.73492042,-73.98829722,0 1 202
23,40.7139957,-73.93281618,0 7 267
24,40.61878,-74.03306723,0 7 72
25,40.726289,-74.00208,0 3 131
26,40.74163206,-73.97837698,0 7 39
27,40.736216,-74.003444,0 3 131
28,40.728014,-73.986315,0 3 131
29,40.7257546,-73.9949128,0 7 72
30,40.738098,-74.00417,0 3 19
31,40.72858,-73.999825,0 7 174
32,40.721353,-73.95775,0 13 282
33,40.726548,-73.995808,0 3 345
34,40.731538,-74.00486,0 3 255
35,40.76176852,-73.96517345,0 3 100
36,40.736827,-73.986909,0 3 60
37,40.78373199,-73.95044304,0 7 39
38,40.77300702,-73.9158863,0 7 45
39,40.71713521,-73.9568163,0 3 170
40,40.72134149,-73.98887973,0 156
41,40.72194135,-73.99625896,0 7 39
42,40.756402,-73.972592,0 3 19
43,40.764005,-73.970565,0 3 131
44,40.747721,-73.891463,0 3 166
45,40.72607169,-73.98347855,0 7 39
46,40.72990646,-74.00060122,0 7 39
47,40.73258001,-74.00255978,0 7 264
48,40.75581939,-73.96901071,0 3 131
49,40.75739368,-73.99330097,0 1 50
50,40.72253605,-73.98617379,0 7 39
51,40.71883771,-73.99238334,0 7 184
52,40.72605519,-74.00150218,0 7 39
53,40.785953,-73.976422,0 7 225
54,40.730019,-74.000553,0 7 264
55,40.73251613,-74.00173172,0 7 39
56,40.720904,-73.987873,0 1 202 393
57,40.7269742,-73.98404717,0 7 39
58,40.73310155,-74.00300569,0 3 19
59,40.727873,-74.000197,0 3 271
60,40.72110038,-73.98792419,0 1 202 393
61,40.7272,-73.979717,0 7 39
62,40.747357,-73.993297,0 7 225
63,40.73998,-73.986648,0 3 239
64,40.71964855,-73.98460702,0 3 196
65,40.72700662,-73.982913,0 7 104
66,40.726836,-74.002086,0 3 241
67,40.75875504,-73.97443133,0 156
68,40.731213,-74.003008,0 3 170
69,40.7637708,-73.959107,0 7 225
70,40.72234772,-73.94850254,0 7 39
71,40.72904747,-73.97845745,0 7 39
72,40.721734,-73.996823,0 3 131
73,40.76281238,-73.9675194,0 7 104
74,40.730641,-74.00270462,0 13 229
75,40.72984595,-73.988725,0 3 186
76,40.72167282,-73.98770037,0 3 60
77,40.694543,-73.993308,0 3 170
78,40.72104871,-73.98317224,0 1 202 393
79,40.72241836,-73.98632035,0 7 264
80,40.7380878,-74.0095067,0 3 131
81,40.73136859,-74.00209325,0 3 19
82,40.72176462,-73.990148,0 3 170
